number,wallet,ETH-zksync,WETH-zksync,USDC-zksync
113,0xafe5d287f5d03bc468a4b7b3650b98e9bcf5b966,0.000619,0,0
114,0xa57a27c38241d469eb27c577371038083dbac531,0.000619,0,0
115,0xd60601290e0c9bb1eaeed396a124b70ea3366829,0.00062,0,0
116,0x8b65e1dc4d0f71e64557675c1534ab30d53724d1,0.000619,0,0
117,0xf65f0c21404f5ef13cb134e3f92233daaddb68b3,0.000619,0,0
118,0xcf18b0529e2cb5fbc23e4f6b50ff1bdbaddf5d02,0.000621,0,0
119,0x7580a8f3a26abf4e6a49d9463f31b7ceb2116390,0.000619,0,0
120,0xeaa1bf1f1c04413b4a1284e6a1ef8a2594fac469,0.00062,0,0
121,0x97716c2d9fe2c7de84c28fd3e19f624de203e57e,0.00062,0,0
122,0xb619317550952d4253d2ea1a09493fa8d7af2b1d,0.00062,1e-18,0
123,0x3b97575a7c0e9c4ece1e7fe9ad9a6f00422b041d,0.000618,1e-18,0
124,0x9850e6188186ad27ce4b00ba3b187ab37487293e,0.00062,0,1e-06
125,0x0163c5c3942fa4bde6fa5c12e2ae82779532a835,0.00062,1e-18,0
126,0x48ae166b12267899918b3093355dae732c857f2c,0.00062,1e-18,0
127,0x518e80617f59f4897ac5f1a4b23c40a468b1e97e,0.000619,0,0
128,0x054b1f335c06c3f7b7d88b48278200f9458e522e,0.00062,0,0
129,0x228f81d5030e01b76e8978d9d4d2ce0bb9dc4f78,0.00062,0,0
130,0x296c6f9df9940e1cf8eef51d93f6a1db04be0f86,0.000619,1e-18,0
131,0x37e65e13ed122f54ab50e9b70552cc98417e7aed,0.00062,1e-18,0
132,0xf32d0cb343894bfdb0136ebf7239b3c88b7fb764,0.00062,0,0
133,0x4f89a135648d57cd631cf464330c7ed5771c5ef9,0.000619,0,1e-06
134,0xe1ee63d326536f61e814f826df8985a686fa918c,0.000619,1e-18,0
135,0xd2a2a82d46bee9ba7f6d3351553ae728ef655ce7,0.00062,1e-18,0
136,0x7fb7ec183abdf7a081348ffe7b9d5f6993a0456c,0.000619,0,0
137,0x7fbfbea5ea056da312eddd6a987ba25c86516012,0.000619,1e-18,0
138,0x63ba56c9c846beeadb42a481d07da7c3b3666c2f,0.000619,0,0
139,0x0bbb83cba95afd10e8e0c7cb1cd26438d7e217e6,0.00062,1e-18,0
140,0xcaf20aabf43709fe7a5778aaa395c334699c2bf6,0.000618,0,0
141,0x727d81c0bf657c830cbccbda8a07948908337ab4,0.000619,0,0
142,0xd4a8b35e783377c6439ceb597c862f68709e74de,0.00062,0,0
143,0x44a03aa91a4981788e9e217406c80928b83c7b9e,0.00062,0,0
144,0xa318334a8089edd8fd81c028ecd1897cb906df89,0.000619,0,0
145,0x57ee233926cd4ca1c541bf985c32faffa3cbbef4,0.000619,0,0
146,0x12ec62942ffa6c5a86778cb950e65eda88b5065a,0.00062,0,0
147,0x8bd46813c08ae9c9d363750367343158676ed1b1,0.000619,1e-18,0
148,0xacbdf8bf5ff2d782dbce0e6cff1dc6d1b01eb846,0.00062,0,0
149,0x2f939874bcbca669d9466c116458b85d0c3f1277,0.00062,0,0
150,0x865ac5c1ac9ff9e55299ab0f27aa11b7f93756a5,0.000619,0,0
151,0x9b70c502cc898c2b35a604f8485fe58b2f016fbe,0.000618,0,0
152,0x36e43a9b095c37ec51f56305653209ac593c9104,0.000619,0,0
153,0xefb85c14ba240f9375fa6035d8977a4233658f25,0.000618,1e-18,0
154,0x27e907aff7365d626fdb654fb04e40a6b06efa13,0.00062,0,0
155,0x57ad631afe3b0d0fa25f646914367e3e03252036,0.000619,0,0
156,0x4dbd6004bcbb94f561e6ec41d432f3624a0bd40b,0.00062,0,0
157,0xd4c5a6892885147c276551cbb08f3ec4a556cb90,0.00062,0,0
158,0x4faf306e6e90039cf16472c684ebba46f93adafb,0.000621,0,1e-06
159,0xbd5bacfc4d3b9a9f9630c8f3d79da79f4d5f5a4f,0.00062,0,0
160,0xf3d099410a480233ce14385397a4b95c66514c2c,0.00062,0,0
161,0x66de419f2d46a63fa4f25dc2b059c15976512dd5,0.000619,0,0
162,0x0e98f43ec28fa6ce302533adc55d5b16d9138659,0.00062,0,0
163,0x4820042370380c7547ad7eb899cf2c53743032ca,0.00062,0,0
164,0xd1d323c5689bc777ef5fc9581467f49bffd19007,0.000619,0,0
165,0x03cca9a6502aa02aeaa2eb7dcdf6a4d7bb029da1,0.000618,0,0
166,0x1194f153cefa4ce3f1029725a32a7f6e4262eeed,0.00062,0,0
167,0x7dfa41556eeabf796ebfa7c457edcdaa8e2ea512,0.00062,0,0
168,0xc3945605033a03c499bda98c41334ce9fe9fbbe6,0.000619,0,0
